Option '64' is not parsed by Ippl. Make sure your application parses it.
Option '64' is not parsed by Ippl. Make sure your application parses it.
Option '64' is not parsed by Ippl. Make sure your application parses it.
Option '2621440' is not parsed by Ippl. Make sure your application parses it.
Option '384' is not parsed by Ippl. Make sure your application parses it.
Option '0.05' is not parsed by Ippl. Make sure your application parses it.
Option 'B-spline' is not parsed by Ippl. Make sure your application parses it.
Option '1' is not parsed by Ippl. Make sure your application parses it.
Option '1e-4' is not parsed by Ippl. Make sure your application parses it.
LandauDampingPIF{0}> Landau damping
LandauDampingPIF{0}> nt 384 Np= 2621440 Fourier modes = ( 64 , 64 , 64 )
LandauDampingPIF{0}> particles created and initial conditions assigned 
LandauDampingPIF{0}> Finished time step: 97 time: 4.85
LandauDampingPIF{0}> Finished time step: 98 time: 4.9
LandauDampingPIF{0}> Finished time step: 99 time: 4.95
LandauDampingPIF{0}> Finished time step: 100 time: 5
LandauDampingPIF{0}> Finished time step: 101 time: 5.05
LandauDampingPIF{0}> Finished time step: 102 time: 5.1
LandauDampingPIF{0}> Finished time step: 103 time: 5.15
LandauDampingPIF{0}> Finished time step: 104 time: 5.2
LandauDampingPIF{0}> Finished time step: 105 time: 5.25
LandauDampingPIF{0}> Finished time step: 106 time: 5.3
LandauDampingPIF{0}> Finished time step: 107 time: 5.35
LandauDampingPIF{0}> Finished time step: 108 time: 5.4
LandauDampingPIF{0}> Finished time step: 109 time: 5.45
LandauDampingPIF{0}> Finished time step: 110 time: 5.5
LandauDampingPIF{0}> Finished time step: 111 time: 5.55
LandauDampingPIF{0}> Finished time step: 112 time: 5.6
LandauDampingPIF{0}> Finished time step: 113 time: 5.65
LandauDampingPIF{0}> Finished time step: 114 time: 5.7
LandauDampingPIF{0}> Finished time step: 115 time: 5.75
LandauDampingPIF{0}> Finished time step: 116 time: 5.8
LandauDampingPIF{0}> Finished time step: 117 time: 5.85
LandauDampingPIF{0}> Finished time step: 118 time: 5.9
LandauDampingPIF{0}> Finished time step: 119 time: 5.95
LandauDampingPIF{0}> Finished time step: 120 time: 6
LandauDampingPIF{0}> Finished time step: 121 time: 6.05
LandauDampingPIF{0}> Finished time step: 122 time: 6.1
LandauDampingPIF{0}> Finished time step: 123 time: 6.15
LandauDampingPIF{0}> Finished time step: 124 time: 6.2
LandauDampingPIF{0}> Finished time step: 125 time: 6.25
LandauDampingPIF{0}> Finished time step: 126 time: 6.3
