time, Ez_field_energy, Ez_max_norm
5.6875000000e-01 6.7202640110e+00 4.0376862778e-02
5.7187500000e-01 6.6878183382e+00 4.0275869636e-02
5.7500000000e-01 6.6553132221e+00 4.0174434628e-02
5.7812500000e-01 6.6227501609e+00 4.0072559478e-02
5.8125000000e-01 6.5901306762e+00 3.9970245910e-02
5.8437500000e-01 6.5574563209e+00 3.9867495657e-02
5.8750000000e-01 6.5247286769e+00 3.9764310458e-02
5.9062500000e-01 6.4919493539e+00 3.9660692062e-02
5.9375000000e-01 6.4591199829e+00 3.9556642220e-02
5.9687500000e-01 6.4262422152e+00 3.9452162697e-02
6.0000000000e-01 6.3933177121e+00 3.9347255261e-02
6.0312500000e-01 6.3603481423e+00 3.9241921690e-02
6.0625000000e-01 6.3273351691e+00 3.9136163756e-02
6.0937500000e-01 6.2942804579e+00 3.9029983263e-02
6.1250000000e-01 6.2611856601e+00 3.8923382011e-02
6.1562500000e-01 6.2280524091e+00 3.8816361789e-02
6.1875000000e-01 6.1948823275e+00 3.8708924406e-02
6.2187500000e-01 6.1616770232e+00 3.8601071671e-02
6.2500000000e-01 6.1284380962e+00 3.8492805419e-02
6.2812500000e-01 6.0951671309e+00 3.8384127466e-02
6.3125000000e-01 6.0618657111e+00 3.8275039656e-02
6.3437500000e-01 6.0285354186e+00 3.8165543837e-02
6.3750000000e-01 5.9951778364e+00 3.8055641861e-02
6.4062500000e-01 5.9617945463e+00 3.7945335568e-02
6.4375000000e-01 5.9283871451e+00 3.7834626826e-02
6.4687500000e-01 5.8949572383e+00 3.7723517511e-02
6.5000000000e-01 5.8615064388e+00 3.7612009500e-02
6.5312500000e-01 5.8280363672e+00 3.7500104676e-02
6.5625000000e-01 5.7945486486e+00 3.7387804926e-02
6.5937500000e-01 5.7610449058e+00 3.7275112125e-02
6.6250000000e-01 5.7275267742e+00 3.7162028202e-02
6.6562500000e-01 5.6939958781e+00 3.7048555068e-02
6.6875000000e-01 5.6604538330e+00 3.6934694631e-02
6.7187500000e-01 5.6269022445e+00 3.6820448802e-02
6.7500000000e-01 5.5933427119e+00 3.6705819504e-02
6.7812500000e-01 5.5597768307e+00 3.6590808678e-02
6.8125000000e-01 5.5262061909e+00 3.6475418268e-02
6.8437500000e-01 5.4926323791e+00 3.6359650212e-02
6.8750000000e-01 5.4590569888e+00 3.6243506462e-02
6.9062500000e-01 5.4254816215e+00 3.6126988967e-02
6.9375000000e-01 5.3919078991e+00 3.6010099702e-02
6.9687500000e-01 5.3583374578e+00 3.5892840626e-02
7.0000000000e-01 5.3247719613e+00 3.5775213721e-02
7.0312500000e-01 5.2912130949e+00 3.5657220967e-02
7.0625000000e-01 5.2576625675e+00 3.5538864352e-02
7.0937500000e-01 5.2241221062e+00 3.5420145866e-02
7.1250000000e-01 5.1905934531e+00 3.5301067505e-02
7.1562500000e-01 5.1570783555e+00 3.5181631265e-02
7.1875000000e-01 5.1235785641e+00 3.5061839166e-02
7.2187500000e-01 5.0900958153e+00 3.4941693222e-02
7.2500000000e-01 5.0566318257e+00 3.4821195462e-02
7.2812500000e-01 5.0231882745e+00 3.4700347899e-02
7.3125000000e-01 4.9897668054e+00 3.4579152576e-02
7.3437500000e-01 4.9563690071e+00 3.4457611520e-02
7.3750000000e-01 4.9229964168e+00 3.4335726786e-02
7.4062500000e-01 4.8896505051e+00 3.4213500410e-02
7.4375000000e-01 4.8563326849e+00 3.4090934455e-02
7.4687500000e-01 4.8230442990e+00 3.3968030964e-02
7.5000000000e-01 4.7897866362e+00 3.3844792000e-02
7.5312500000e-01 4.7565609361e+00 3.3721219649e-02
7.5625000000e-01 4.7233683852e+00 3.3597315976e-02
7.5937500000e-01 4.6902101376e+00 3.3473083060e-02
7.6250000000e-01 4.6570873247e+00 3.3348522993e-02
7.6562500000e-01 4.6240010615e+00 3.3223637857e-02
7.6875000000e-01 4.5909524677e+00 3.3098429757e-02
7.7187500000e-01 4.5579426755e+00 3.2972900805e-02
7.7500000000e-01 4.5249728320e+00 3.2847053089e-02
7.7812500000e-01 4.4920441230e+00 3.2720888722e-02
7.8125000000e-01 4.4591577730e+00 3.2594409814e-02
7.8437500000e-01 4.4263150569e+00 3.2467618490e-02
7.8750000000e-01 4.3935173026e+00 3.2340516881e-02
7.9062500000e-01 4.3607658892e+00 3.2213107110e-02
7.9375000000e-01 4.3280622513e+00 3.2085391306e-02
7.9687500000e-01 4.2954078815e+00 3.1957371620e-02
8.0000000000e-01 4.2628043159e+00 3.1829050184e-02
8.0312500000e-01 4.2302531416e+00 3.1700429159e-02
8.0625000000e-01 4.1977559769e+00 3.1571510686e-02
8.0937500000e-01 4.1653144726e+00 3.1442296924e-02
8.1250000000e-01 4.1329303035e+00 3.1312790041e-02
8.1562500000e-01 4.1006051526e+00 3.1182992192e-02
8.1875000000e-01 4.0683407133e+00 3.1052905556e-02
8.2187500000e-01 4.0361386760e+00 3.0922532307e-02
8.2500000000e-01 4.0040007256e+00 3.0791874628e-02
8.2812500000e-01 3.9719285343e+00 3.0660934702e-02
8.3125000000e-01 3.9399237640e+00 3.0529714726e-02
8.3437500000e-01 3.9079880575e+00 3.0398216885e-02
8.3750000000e-01 3.8761230453e+00 3.0266443383e-02
8.4062500000e-01 3.8443303410e+00 3.0134396414e-02
8.4375000000e-01 3.8126115493e+00 3.0002078203e-02
8.4687500000e-01 3.7809682530e+00 2.9869490937e-02
8.5000000000e-01 3.7494020260e+00 2.9736636822e-02
8.5312500000e-01 3.7179144367e+00 2.9603518093e-02
8.5625000000e-01 3.6865070372e+00 2.9470136971e-02
8.5937500000e-01 3.6551813647e+00 2.9336495669e-02
8.6250000000e-01 3.6239389466e+00 2.9202596418e-02
8.6562500000e-01 3.5927812993e+00 2.9068441470e-02
8.6875000000e-01 3.5617099148e+00 2.8934033044e-02
8.7187500000e-01 3.5307262720e+00 2.8799373385e-02
8.7500000000e-01 3.4998318296e+00 2.8664464738e-02
8.7812500000e-01 3.4690280231e+00 2.8529309343e-02
8.8125000000e-01 3.4383162714e+00 2.8393909470e-02
8.8437500000e-01 3.4076979624e+00 2.8258267364e-02
8.8750000000e-01 3.3771744612e+00 2.8122385285e-02
8.9062500000e-01 3.3467471066e+00 2.7986265505e-02
8.9375000000e-01 3.3164172054e+00 2.7849910288e-02
8.9687500000e-01 3.2861860280e+00 2.7713321877e-02
9.0000000000e-01 3.2560548232e+00 2.7576502572e-02
9.0312500000e-01 3.2260247993e+00 2.7439454655e-02
9.0625000000e-01 3.1960971228e+00 2.7302180382e-02
9.0937500000e-01 3.1662729280e+00 2.7164682039e-02
9.1250000000e-01 3.1365533169e+00 2.7026961931e-02
9.1562500000e-01 3.1069393508e+00 2.6889022339e-02
9.1875000000e-01 3.0774320611e+00 2.6750865553e-02
9.2187500000e-01 3.0480324542e+00 2.6612493872e-02
9.2500000000e-01 3.0187415185e+00 2.6473909602e-02
9.2812500000e-01 2.9895602245e+00 2.6335115025e-02
9.3125000000e-01 2.9604895497e+00 2.6196112469e-02
9.3437500000e-01 2.9315304725e+00 2.6056904238e-02
9.3750000000e-01 2.9026839866e+00 2.5917492636e-02
9.4062500000e-01 2.8739511099e+00 2.5777879972e-02
9.4375000000e-01 2.8453328923e+00 2.5638068568e-02
9.4687500000e-01 2.8168304176e+00 2.5498060739e-02
9.5000000000e-01 2.7884448080e+00 2.5357858811e-02
9.5312500000e-01 2.7601772267e+00 2.5217465128e-02
9.5625000000e-01 2.7320288648e+00 2.5076881999e-02
9.5937500000e-01 2.7040009508e+00 2.4936111767e-02
9.6250000000e-01 2.6760947337e+00 2.4795156748e-02
9.6562500000e-01 2.6483114872e+00 2.4654019288e-02
9.6875000000e-01 2.6206524941e+00 2.4512701717e-02
9.7187500000e-01 2.5931190471e+00 2.4371206392e-02
