time, Ez_field_energy, Ez_max_norm
3.0937500000e-01 6.6714466095e-01 1.0329483442e-02
3.1250000000e-01 6.6534495358e-01 1.0309872971e-02
3.1562500000e-01 6.6353285925e-01 1.0290107534e-02
3.1875000000e-01 6.6170837667e-01 1.0270187580e-02
3.2187500000e-01 6.5987152668e-01 1.0250113560e-02
3.2500000000e-01 6.5802235259e-01 1.0229885927e-02
3.2812500000e-01 6.5616092138e-01 1.0209505146e-02
3.3125000000e-01 6.5428732347e-01 1.0188971690e-02
3.3437500000e-01 6.5240167224e-01 1.0168286023e-02
3.3750000000e-01 6.5050410495e-01 1.0147448620e-02
3.4062500000e-01 6.4859478097e-01 1.0126459941e-02
3.4375000000e-01 6.4667388559e-01 1.0105320483e-02
3.4687500000e-01 6.4474162561e-01 1.0084030726e-02
3.5000000000e-01 6.4279822961e-01 1.0062591151e-02
3.5312500000e-01 6.4084394691e-01 1.0041002229e-02
3.5625000000e-01 6.3887905132e-01 1.0019264487e-02
3.5937500000e-01 6.3690383139e-01 9.9973783967e-03
3.6250000000e-01 6.3491859726e-01 9.9753444762e-03
3.6562500000e-01 6.3292367345e-01 9.9531632257e-03
3.6875000000e-01 6.3091939895e-01 9.9308351459e-03
3.7187500000e-01 6.2890612654e-01 9.9083607595e-03
3.7500000000e-01 6.2688421769e-01 9.8857405706e-03
3.7812500000e-01 6.2485404321e-01 9.8629751045e-03
3.8125000000e-01 6.2281597887e-01 9.8400648850e-03
3.8437500000e-01 6.2077040313e-01 9.8170104348e-03
3.8750000000e-01 6.1871769494e-01 9.7938122849e-03
3.9062500000e-01 6.1665823124e-01 9.7704709766e-03
3.9375000000e-01 6.1459238244e-01 9.7469870350e-03
3.9687500000e-01 6.1252051172e-01 9.7233609969e-03
4.0000000000e-01 6.1044297357e-01 9.6995934197e-03
4.0312500000e-01 6.0836010696e-01 9.6756848304e-03
4.0625000000e-01 6.0627223817e-01 9.6516357857e-03
4.0937500000e-01 6.0417967642e-01 9.6274468409e-03
4.1250000000e-01 6.0208271199e-01 9.6031185463e-03
4.1562500000e-01 5.9998161657e-01 9.5786514710e-03
4.1875000000e-01 5.9787663990e-01 9.5540461705e-03
4.2187500000e-01 5.9576801176e-01 9.5293032218e-03
4.2500000000e-01 5.9365593953e-01 9.5044231958e-03
4.2812500000e-01 5.9154060816e-01 9.4794066540e-03
4.3125000000e-01 5.8942218294e-01 9.4542541802e-03
4.3437500000e-01 5.8730080855e-01 9.4289663581e-03
4.3750000000e-01 5.8517661029e-01 9.4035437667e-03
4.4062500000e-01 5.8304969642e-01 9.3779870006e-03
4.4375000000e-01 5.8092015839e-01 9.3522966419e-03
4.4687500000e-01 5.7878807510e-01 9.3264732927e-03
4.5000000000e-01 5.7665351310e-01 9.3005175505e-03
4.5312500000e-01 5.7451652963e-01 9.2744300185e-03
4.5625000000e-01 5.7237717399e-01 9.2482112880e-03
4.5937500000e-01 5.7023549194e-01 9.2218619696e-03
4.6250000000e-01 5.6809152655e-01 9.1953826702e-03
4.6562500000e-01 5.6594532112e-01 9.1687740056e-03
4.6875000000e-01 5.6379692038e-01 9.1420365880e-03
4.7187500000e-01 5.6164637337e-01 9.1151710371e-03
4.7500000000e-01 5.5949373384e-01 9.0881779691e-03
4.7812500000e-01 5.5733906360e-01 9.0610580229e-03
4.8125000000e-01 5.5518243057e-01 9.0338118196e-03
4.8437500000e-01 5.5302391116e-01 9.0064399914e-03
4.8750000000e-01 5.5086359120e-01 8.9789431906e-03
4.9062500000e-01 5.4870156165e-01 8.9513220312e-03
4.9375000000e-01 5.4653792378e-01 8.9235771739e-03
4.9687500000e-01 5.4437278358e-01 8.8957092613e-03
5.0000000000e-01 5.4220625199e-01 8.8677189393e-03
5.0312500000e-01 5.4003844290e-01 8.8396068533e-03
5.0625000000e-01 5.3786947224e-01 8.8113736624e-03
5.0937500000e-01 5.3569945384e-01 8.7830200138e-03
5.1250000000e-01 5.3352849991e-01 8.7545465805e-03
5.1562500000e-01 5.3135671610e-01 8.7259540284e-03
5.1875000000e-01 5.2918419874e-01 8.6972430095e-03
5.2187500000e-01 5.2701103450e-01 8.6684141934e-03
5.2500000000e-01 5.2483729814e-01 8.6394682698e-03
5.2812500000e-01 5.2266304769e-01 8.6104059061e-03
5.3125000000e-01 5.2048832398e-01 8.5812277705e-03
5.3437500000e-01 5.1831314964e-01 8.5519345401e-03
5.3750000000e-01 5.1613752839e-01 8.5225269128e-03
5.4062500000e-01 5.1396144232e-01 8.4930055697e-03
5.4375000000e-01 5.1178485346e-01 8.4633712091e-03
5.4687500000e-01 5.0960770094e-01 8.4336245035e-03
5.5000000000e-01 5.0742990801e-01 8.4037661888e-03
5.5312500000e-01 5.0525137467e-01 8.3737969423e-03
5.5625000000e-01 5.0307198622e-01 8.3437174823e-03
5.5937500000e-01 5.0089161168e-01 8.3135285093e-03
5.6250000000e-01 4.9871010712e-01 8.2832307250e-03
5.6562500000e-01 4.9652732040e-01 8.2528248479e-03
5.6875000000e-01 4.9434309196e-01 8.2223115785e-03
5.7187500000e-01 4.9215726104e-01 8.1916916346e-03
5.7500000000e-01 4.8996966994e-01 8.1609657549e-03
5.7812500000e-01 4.8778016544e-01 8.1301346584e-03
5.8125000000e-01 4.8558860424e-01 8.0991990586e-03
5.8437500000e-01 4.8339485888e-01 8.0681596900e-03
5.8750000000e-01 4.8119882124e-01 8.0370172964e-03
5.9062500000e-01 4.7900040430e-01 8.0057725923e-03
5.9375000000e-01 4.7679954984e-01 7.9744263212e-03
5.9687500000e-01 4.7459622963e-01 7.9429792205e-03
6.0000000000e-01 4.7239045000e-01 7.9114320418e-03
6.0312500000e-01 4.7018225276e-01 7.8797855151e-03
6.0625000000e-01 4.6797172081e-01 7.8480404061e-03
6.0937500000e-01 4.6575897702e-01 7.8161974616e-03
6.1250000000e-01 4.6354418753e-01 7.7842574494e-03
6.1562500000e-01 4.6132755989e-01 7.7522211104e-03
6.1875000000e-01 4.5910934622e-01 7.7200892110e-03
6.2187500000e-01 4.5688984158e-01 7.6878625189e-03
6.2500000000e-01 4.5466938222e-01 7.6555417950e-03
6.2812500000e-01 4.5244834498e-01 7.6231278072e-03
6.3125000000e-01 4.5022714490e-01 7.5906213244e-03
6.3437500000e-01 4.4800623279e-01 7.5580231246e-03
6.3750000000e-01 4.4578609280e-01 7.5253339935e-03
6.4062500000e-01 4.4356723632e-01 7.4925546940e-03
6.4375000000e-01 4.4135020174e-01 7.4596860138e-03
