Option '64' is not parsed by Ippl. Make sure your application parses it.
Option '64' is not parsed by Ippl. Make sure your application parses it.
Option '64' is not parsed by Ippl. Make sure your application parses it.
Option '2621440' is not parsed by Ippl. Make sure your application parses it.
Option '384' is not parsed by Ippl. Make sure your application parses it.
Option '0.05' is not parsed by Ippl. Make sure your application parses it.
Option 'B-spline' is not parsed by Ippl. Make sure your application parses it.
Option '1' is not parsed by Ippl. Make sure your application parses it.
Option '1e-4' is not parsed by Ippl. Make sure your application parses it.
PenningTrapPIF{0}> PenningTrapPIF
PenningTrapPIF{0}> nt 384 Np= 2621440 Fourier modes = ( 64 , 64 , 64 )
PenningTrapPIF{0}> particles created and initial conditions assigned 
PenningTrapPIF{0}> Finished time step: 278 time: 13.9
PenningTrapPIF{0}> Finished time step: 279 time: 13.95
PenningTrapPIF{0}> Finished time step: 280 time: 14
PenningTrapPIF{0}> Finished time step: 281 time: 14.05
PenningTrapPIF{0}> Finished time step: 282 time: 14.1
PenningTrapPIF{0}> Finished time step: 283 time: 14.15
PenningTrapPIF{0}> Finished time step: 284 time: 14.2
PenningTrapPIF{0}> Finished time step: 285 time: 14.25
PenningTrapPIF{0}> Finished time step: 286 time: 14.3
PenningTrapPIF{0}> Finished time step: 287 time: 14.35
PenningTrapPIF{0}> Finished time step: 288 time: 14.4
PenningTrapPIF{0}> Finished time step: 289 time: 14.45
PenningTrapPIF{0}> Finished time step: 290 time: 14.5
PenningTrapPIF{0}> Finished time step: 291 time: 14.55
PenningTrapPIF{0}> Finished time step: 292 time: 14.6
PenningTrapPIF{0}> Finished time step: 293 time: 14.65
PenningTrapPIF{0}> Finished time step: 294 time: 14.7
PenningTrapPIF{0}> Finished time step: 295 time: 14.75
PenningTrapPIF{0}> Finished time step: 296 time: 14.8
PenningTrapPIF{0}> Finished time step: 297 time: 14.85
PenningTrapPIF{0}> Finished time step: 298 time: 14.9
PenningTrapPIF{0}> Finished time step: 299 time: 14.95
PenningTrapPIF{0}> Finished time step: 300 time: 15
PenningTrapPIF{0}> Finished time step: 301 time: 15.05
PenningTrapPIF{0}> Finished time step: 302 time: 15.1
PenningTrapPIF{0}> Finished time step: 303 time: 15.15
PenningTrapPIF{0}> Finished time step: 304 time: 15.2
PenningTrapPIF{0}> Finished time step: 305 time: 15.25
PenningTrapPIF{0}> Finished time step: 306 time: 15.3
PenningTrapPIF{0}> Finished time step: 307 time: 15.35
PenningTrapPIF{0}> Finished time step: 308 time: 15.4
PenningTrapPIF{0}> Finished time step: 309 time: 15.45
PenningTrapPIF{0}> Finished time step: 310 time: 15.5
PenningTrapPIF{0}> Finished time step: 311 time: 15.55
PenningTrapPIF{0}> Finished time step: 312 time: 15.6
PenningTrapPIF{0}> Finished time step: 313 time: 15.65
PenningTrapPIF{0}> Finished time step: 314 time: 15.7
PenningTrapPIF{0}> Finished time step: 315 time: 15.75
PenningTrapPIF{0}> Finished time step: 316 time: 15.8
PenningTrapPIF{0}> Finished time step: 317 time: 15.85
PenningTrapPIF{0}> Finished time step: 318 time: 15.9
PenningTrapPIF{0}> Finished time step: 319 time: 15.95
PenningTrapPIF{0}> Finished time step: 320 time: 16
PenningTrapPIF{0}> Finished time step: 321 time: 16.05
PenningTrapPIF{0}> Finished time step: 322 time: 16.1
PenningTrapPIF{0}> Finished time step: 323 time: 16.15
PenningTrapPIF{0}> Finished time step: 324 time: 16.2
PenningTrapPIF{0}> Finished time step: 325 time: 16.25
PenningTrapPIF{0}> Finished time step: 326 time: 16.3
PenningTrapPIF{0}> Finished time step: 327 time: 16.35
PenningTrapPIF{0}> Finished time step: 328 time: 16.4
PenningTrapPIF{0}> Finished time step: 329 time: 16.45
PenningTrapPIF{0}> Finished time step: 330 time: 16.5
PenningTrapPIF{0}> Finished time step: 331 time: 16.55
PenningTrapPIF{0}> Finished time step: 332 time: 16.6
PenningTrapPIF{0}> Finished time step: 333 time: 16.65
PenningTrapPIF{0}> Finished time step: 334 time: 16.7
PenningTrapPIF{0}> Finished time step: 335 time: 16.75
PenningTrapPIF{0}> Finished time step: 336 time: 16.8
PenningTrapPIF{0}> Finished time step: 337 time: 16.85
PenningTrapPIF{0}> Finished time step: 338 time: 16.9
PenningTrapPIF{0}> Finished time step: 339 time: 16.95
PenningTrapPIF{0}> Finished time step: 340 time: 17
PenningTrapPIF{0}> Finished time step: 341 time: 17.05
PenningTrapPIF{0}> Finished time step: 342 time: 17.1
PenningTrapPIF{0}> Finished time step: 343 time: 17.15
PenningTrapPIF{0}> Finished time step: 344 time: 17.2
PenningTrapPIF{0}> Finished time step: 345 time: 17.25
PenningTrapPIF{0}> Finished time step: 346 time: 17.3
PenningTrapPIF{0}> Finished time step: 347 time: 17.35
PenningTrapPIF{0}> Finished time step: 348 time: 17.4
PenningTrapPIF{0}> Finished time step: 349 time: 17.45
PenningTrapPIF{0}> Finished time step: 350 time: 17.5
PenningTrapPIF{0}> Finished time step: 351 time: 17.55
PenningTrapPIF{0}> Finished time step: 352 time: 17.6
PenningTrapPIF{0}> Finished time step: 353 time: 17.65
PenningTrapPIF{0}> Finished time step: 354 time: 17.7
PenningTrapPIF{0}> Finished time step: 355 time: 17.75
PenningTrapPIF{0}> Finished time step: 356 time: 17.8
PenningTrapPIF{0}> Finished time step: 357 time: 17.85
PenningTrapPIF{0}> Finished time step: 358 time: 17.9
PenningTrapPIF{0}> Finished time step: 359 time: 17.95
