time, Ex_field_energy, Ex_max_norm
8.6000000000e+00 3.3325980114e-01 4.9526925883e-03
8.6500000000e+00 3.5234583106e-01 5.4191520137e-03
8.7000000000e+00 3.7120902714e-01 5.8494603146e-03
8.7500000000e+00 3.8994360122e-01 6.2417803062e-03
8.8000000000e+00 4.0754435877e-01 6.5950342519e-03
8.8500000000e+00 4.2304215489e-01 6.9079403841e-03
8.9000000000e+00 4.3678050138e-01 7.1794889156e-03
8.9500000000e+00 4.4912924324e-01 7.4090290510e-03
9.0000000000e+00 4.6002649636e-01 7.5960825092e-03
9.0500000000e+00 4.6817487261e-01 7.7402758866e-03
9.1000000000e+00 4.7403695480e-01 7.8416832020e-03
9.1500000000e+00 4.7690718338e-01 7.9004546863e-03
9.2000000000e+00 4.7696263255e-01 7.9169703851e-03
9.2500000000e+00 4.7571959320e-01 7.8917736436e-03
9.3000000000e+00 4.7205290725e-01 7.8257284572e-03
9.3500000000e+00 4.6560105259e-01 7.7198389825e-03
9.4000000000e+00 4.5658505021e-01 7.5751585057e-03
9.4500000000e+00 4.4600574549e-01 7.3931790182e-03
9.5000000000e+00 4.3388934141e-01 7.1754258002e-03
9.5500000000e+00 4.2087435714e-01 6.9235148286e-03
9.6000000000e+00 4.0744925616e-01 6.6392870884e-03
9.6500000000e+00 3.9356365987e-01 6.3247586051e-03
9.7000000000e+00 3.7866989257e-01 5.9820296657e-03
9.7500000000e+00 3.6249857551e-01 5.6133100041e-03
9.8000000000e+00 3.4568398696e-01 5.2207914027e-03
9.8500000000e+00 3.2876823333e-01 4.8069164857e-03
9.9000000000e+00 3.1273879386e-01 4.3742284017e-03
9.9500000000e+00 2.9803697514e-01 3.9251692654e-03
1.0000000000e+01 2.8425150607e-01 3.4622810055e-03
1.0050000000e+01 2.7125410024e-01 2.9882372245e-03
1.0100000000e+01 2.6041482854e-01 2.5054924635e-03
1.0150000000e+01 2.5151543269e-01 2.0169371604e-03
1.0200000000e+01 2.4412916190e-01 1.5249804211e-03
1.0250000000e+01 2.3926561150e-01 1.0324638733e-03
1.0300000000e+01 2.3659670081e-01 5.8883250543e-04
1.0350000000e+01 2.3555973059e-01 6.0585380685e-04
1.0400000000e+01 2.3693797057e-01 6.2141029130e-04
1.0450000000e+01 2.4000820958e-01 9.0108456064e-04
1.0500000000e+01 2.4422915780e-01 1.3607824996e-03
1.0550000000e+01 2.5015212027e-01 1.8073718498e-03
1.0600000000e+01 2.5740796554e-01 2.2385521106e-03
1.0650000000e+01 2.6540701211e-01 2.6522293023e-03
1.0700000000e+01 2.7409344209e-01 3.0467040315e-03
1.0750000000e+01 2.8314253298e-01 3.4201433681e-03
1.0800000000e+01 2.9227329971e-01 3.7708990118e-03
1.0850000000e+01 3.0100169290e-01 4.0977232837e-03
1.0900000000e+01 3.0961578305e-01 4.3991193375e-03
1.0950000000e+01 3.1755147505e-01 4.6739928294e-03
1.1000000000e+01 3.2581881070e-01 4.9213766213e-03
1.1050000000e+01 3.3491319965e-01 5.1403831781e-03
1.1100000000e+01 3.4352514546e-01 5.3304191439e-03
1.1150000000e+01 3.5146291367e-01 5.4908100042e-03
1.1200000000e+01 3.5859436454e-01 5.6214037503e-03
1.1250000000e+01 3.6401743747e-01 5.7217129317e-03
1.1300000000e+01 3.6708700939e-01 5.7918866432e-03
1.1350000000e+01 3.6800070208e-01 5.8319676701e-03
1.1400000000e+01 3.6802802904e-01 5.8422224992e-03
1.1450000000e+01 3.6759303152e-01 5.8229470318e-03
1.1500000000e+01 3.6551095622e-01 5.7747442821e-03
1.1550000000e+01 3.6161784068e-01 5.6984099149e-03
1.1600000000e+01 3.5667794901e-01 5.5945615190e-03
1.1650000000e+01 3.5030645640e-01 5.4642059943e-03
1.1700000000e+01 3.4226985947e-01 5.3084296035e-03
1.1750000000e+01 3.3315427926e-01 5.1283658101e-03
1.1800000000e+01 3.2401820903e-01 4.9252633433e-03
1.1850000000e+01 3.1538425525e-01 4.7005340742e-03
1.1900000000e+01 3.0718483263e-01 4.4554967150e-03
1.1950000000e+01 2.9912781304e-01 4.1917923853e-03
1.2000000000e+01 2.9148313203e-01 3.9109671369e-03
1.2050000000e+01 2.8281271723e-01 3.6146534914e-03
1.2100000000e+01 2.7372342810e-01 3.3046964589e-03
1.2150000000e+01 2.6576885355e-01 2.9826995463e-03
